<<<<<<< HEAD
,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,temp,sign,day_of_week,horoscope,img_path,keyTerms,new_keyTerms_list,new_keyTerms
135,135,135,135,0.884224256833,Cancer,Friday,You might believe you have cosmic support to or monitoring a certain situation and its the; that you should n't do change with what s presenting itself. Do n't back up up to new situations to continue to see a certain persons ownership. If you can finally see this as a mountain without considering the fact that someone is really doing it anyway?,imgs/img_135,certain situation,"['continue', 'fact', 'person']",continue
136,136,136,136,0.968703071547,Leo,Friday,The saying about seconds walking knows clear to certain people or project you re receiving both armom than we d of receiving new or fluid ( and that s an issue in your world to be different. You could end up feeling despondent with criticism or obligations to consider this. A situation is deceited soon. Lose round realization. But what differs from what you can tolerate has become a process in the way it might appear to be a price provide some imagination?,imgs/img_136,certain people,"['issue', 'world', 'people', 'way']",issue
137,137,137,137,0.8713472449040001,Virgo,Friday,"There s a decision to try the story. As much as you might have your eye off the way to do so, then its considerate to you. Much comes from you being presented with an inconvenient or uncertain scenario. Trust that everyone elses dilemma can come in ways you probably would nothing but it could be easy to use it. Soon, you'll see how distanced or over-any subject is helping you to do so. Its time to trust your heart to be supportive by a lengthy character.",imgs/img_137,scenario,"['use', 'way', 'try', 'time']",use
138,138,138,138,0.829933776258,Libra,Friday,"A little help at your forecast is occurring if you can make a point where it might have appeared uncomfortable similarly. This would be fine if it allows you to consider the fact that a team of effort might have embraced and unconcerned about what is best for you. Try to put it to have to know more about what you re expected to tell you, it does for you. The shift in attitude can be replaced with restriction because not without a coming development.",imgs/img_138,team,"['fact', 'try', 'effort']",fact
139,139,139,139,0.994561438681,Scorpio,Friday,"You re being encouraged now to convey your might reciprocated in some way could be difficult to say. However, the trajectory can make sense of it or tedious intuition. It might appear to work at a situation presenting itself in a better you did. Each open minds of hindsight you re capable of and this is going to have to ask you for someone to accept or accept by others in some way. You have made a move forward properly when a problem or collaboration will bring a smile on your toes.",imgs/img_139,tedious intuition,"['mind', 'sense']",mind
140,140,140,140,0.9609261407140001,Sagittarius,Friday,"Doing something in a situation or arrangement might appear more compliant. There are reasons why you want an issue to someone mirror a jour current mistake can result from the urge on your side to do so. As exciting as is to say that you wo n't worry, its as if one issue concerning you and manifest much more than the reput in ways you might be doing and why. Then, be brave. Try not resigned to something very special. Its time to start with careful considerations. You know where you want to be.",imgs/img_140,issue,"['try', 'reason', 'time', 'way']",try
141,141,141,141,0.8039458256199999,Capricorn,Friday,"Action were made to be a problem, it can represent an undertaking sometimes. We can all recall when some people can do it. In a similar way, someone else is being helped to heal in a different way or someone that they might not have seen as much as they think or feel they currently. That s why its important you take an usual responsibility in one area of your world. If you can, then you will soon feel confident. A chance to do so is forming a strong opinion.",imgs/img_141,similar way,"['world', 'people']",world
142,142,142,142,0.8797295776080001,Aquarius,Friday,"You re about to feel invested elopion from making a relative experience and it is another story. There appear to be more transparent. Where you believe you have reasons for doing so in some way, it appears you should gain no muscalate or recall how or the fact that something was as much influence. It might be necessary to allow a supportive stance to the plan, so, even if it tells you you are feeling more inspiring if it concerns the other way along the right thing now?",imgs/img_142,other way,"['way', 'reason']",way
143,143,143,143,0.933484007334,Pisces,Friday,"Game sparks are broad Orge. People can play fapt absolutely the opposite of anything that they re doing it. They re making an unwaven debate but the final say you re keen to make space for disaster-eye for something that involves little more than purpose. In the same way the problem, the people will always accept that all concerns will bring some level of hope. The story is reason to encourage at unfamiliar training toward something.",imgs/img_143, reason,"['level', 'reason', 'accept', 'way']",level
144,144,144,144,0.910932797448,Aries,Saturday,"We know we often recognize faith, our lives, especially as the art in delays again. Whilst there are limits to what some situation, there can be many hassle to the decks of action always become scared or waiting to have got said. Is what you re getting in situation made, you can achieve something special and pretending step forward or inflexibility lately. Where you feel a need to take action and make it happen, you can cease gratitude too than make a vision.",imgs/img_144,inflexibility,"['life', 'become']",life
145,145,145,145,0.986478247923,Taurus,Saturday,"You can probably eecate transformational progress must get the better of your list. It might be something to bear in a certain area of your world. You re dealing with unhelpful advice that you ve dismissed an agreement to come your way happen presently its concerned. Others know you were more inclined to keep control on a tick. An event made recently that will help you to do that. This is n't a backward step. The master, so too.",imgs/img_145,control,"['world', 'way']",world
146,146,146,146,0.915074768173,Gemini,Saturday,"If you find yourself short of mixing levels of responsibility or support, then you re likely to find yourself in a situation that deserves to be steered in disguise. Being prepared to throw yourself into a plan is n't as intent on progressing whatever-it-is. Where you might be pleased to hear it could require more monounded now, progress in an area of your world that can happen in a certain area. Do n't jump to some level of effort than any of the roots or action needs to introduce both.",imgs/img_146,certain area,"['plan', 'action', 'effort', 'world']",plan
147,147,147,147,0.8998438296610001,Cancer,Saturday,"Even if you ve been a diskealing role in store, you re drawing a line with finances. If you have more explanations, the hardest round of emotional factors is set to work out telephone career and channel. But do nt let someone take a massate brilliant attention! Friends can change with it. Changing your might grabulge irritating the buzz of chasm and become a softer than this. It may be time to give yourself on it! Bright, out on the back of can call upon.",imgs/img_147,brilliant attention,"['become', 'time']",become
148,148,148,148,0.8484117307729999,Leo,Saturday,"Nowadays, we are told, is greater on the background. We sometimes become more inclined to distance what the time comes to think it. We often underestimate how we react to a situation we ve arrived at and oblivious to and are equalistic with. Its usually because we fail to see. Both know this is a time when we know what we know we achieved when we had more of what we accept them. Do n't become deflated now with the one you need to make happen now. Trust that you have done all that matters.",imgs/img_148,time,['accept'],accept
149,149,149,149,0.8090653635449999,Virgo,Saturday,"If you re feeling assertive or problematic, then it is said by the dust interesting and sensible scenario. A sense of relief could result in a certain situation in your world now to refuse to be different. An arrangement or aspiration are all that s needed now. A reassuring result is up against the air or willingness to accept something from your past but nice place where you need to be more transparent than the information you might be concerned.",imgs/img_149, nice place,"['past', 'arrangement', 'accept', 'sense', 'world']",past
150,150,150,150,0.939713766638,Libra,Saturday,"You may want to provound old up. It\ricating from the people in the month, you may find yourself in a coat without a partner or thinking positive decorative or activity, and the more you may gain from there more possibilities than your respective. Or us that easily is far away from information around you? Part of you being misunderstands at how you make on the same, with a much bigger familiarity and practicality! You may not make sure you go. Whatever it is that you can.",imgs/img_150,misunderstands,"['information', 'gain', 'people']",information
151,151,151,151,0.9464164949299999,Scorpio,Saturday,"A clever or train of past issues or observations are coming your way disbeing in a certain direction but did n't involve a deeper set-up-aggrement to someone you once two-way searching. You do n't need to invest considerable effort, possibly unchangeable situations that will undoubtedly be achieved at some point in the past that would be making itself known, not the way something tolerates or embrace it.",imgs/img_151,considerable effort,"['direction', 'set', 'point', 'effort', 'issue']",direction
152,152,152,152,0.997026257966,Sagittarius,Saturday,"Some ideas can be rooted. The statement After grindstards closed would start at times to stick to the way things bring frankly, advice from circumstances. We consider how life would exist in disappointment, as need overlooked or offended if were to boil it and convince ourselves there are clear images as best as the process of surprise will. Do n't fulfill those around you about something important about love than we can not see from this.",imgs/img_152,circumstances,"['life', 'time', 'way']",life
153,153,153,153,0.935766243717,Capricorn,Saturday,"Some people are usually authoritative. There are times though how we do close to our day-to-day issues that will end. If there s an expert in two lions chastise on one day, all kirs of the gab is lasting, be just a time of relaxing televisions or self-doubt in the next day, change your mind up magic. But, when it happens, there is a debbetwardness. In a mask coming your way now, you believe it necessary to refuse to bring too hard to anticipate the most schedule now.",imgs/img_153,most schedule,"['bring', 'mind', 'issue', 'people', 'way']",bring
154,154,154,154,0.9347218883990001,Aquarius,Saturday,"As much as you ca nt procrastinate, you might find it comes to mind today, but this is an easy to do this. Yet you can see this up and to make a significant response just into your role. A partner and frothing life can opport you with a mountain, in life that you ca nt hide. Be calm and fast, and especially in groups. All you can actually realize can come in kind of thing, with those situations for something you and someone can part in the middle. Be even different moments and advice.",imgs/img_154,mind,['mind'],mind
155,155,155,155,0.895597010704,Pisces,Saturday,"We know the saying about striking to test us in the belief that a patch mirror wi could be better off completely the fair in books we d have done, but do n't find each regret or hurt and has an uncomfortable conclusion. Where you could step back where someone is different or long takes certain individuals as you wish it did n't require a bit of time to come to you. This makes this not want to. Making a decision was manageak on an issue you can receive them. This time are you moving in some way.",imgs/img_155,bit,"['issue', 'way']",issue
156,156,156,156,0.8892191440170001,Aries,Sunday,"Just as you ca n't, not found others in silence, try to see reasons why a certain matter is concerned. However, that does n't mean you could be distance where something out of your past is concerned. You could overlook it to your next move but taking a brief conversation can be taken as daunting as it is going to be. Try to see a certain situation now. Its also what you wish for now.",imgs/img_156, distance,"['mean', 'past', 'matter', 'reason']",mean
157,157,157,157,0.903717341199,Taurus,Sunday,"Is it time to look at a tired situation or arrangement materially to you? Possibility you re keen to spill into your own way. That might be something that can prove to be a noticeable way to come to a short space of time, among many things that comes with it in a tedious or obstacle hostened. Your pride or response might not be so strong and indecisiveness is being positive and you can relax and let someone know what or who or what they deal with the person waiting now.",imgs/img_157,time,"['look', 'way', 'person']",look
158,158,158,158,0.9935949526010001,Gemini,Sunday,"Be alert to what ought to be done. You feel as if you ve been stuck in a rut it within a film. Where you are at the year but, surely, do n't be walking toward the learning curve certain people are the stage you set as a step to resolving any helpful situation. There s much you can apply and remind, if you re not already seeing it as the same time does the key to you it? Your current astrology to listen exists in ways you might be considering.",imgs/img_158,certain people,"['helpful', 'people', 'time', 'way']",helpful
159,159,159,159,0.912871527314,Cancer,Sunday,"Creative ideas work together much so strongly. It may need to move into the day away when you want to push yourself out on a trial. If you are honest with someone who enjoying the year, or an impact is to alter the start of the lot of a home of positions Lad Circle, this is the key in element of greediate ends of feedback. Music are worth figures- finishing your own organizational temper yourself. Try to wear things out into the open. Try to resist the synche. Verwinkness is speeding up.",imgs/img_159,home,"['move', 'end', 'start', 'work', 'idea']",move
160,160,160,160,0.973368918385,Leo,Sunday,"You can be dull rise and frustrated, especially if you were able to conceal it. Its possible to keep your mind at certain situations in the knowledge that someone is telling you that there are limits to what you know to be yours, there are likely insignificant success in the past.",imgs/img_160,knowledge,"['past', 'mind']",past
161,161,161,161,0.937104043296,Virgo,Sunday,"If you have even your motive of your life with Venus, you will excelled a no-nonsense gusto. If you have been leaving our minds to go and challenged in a more professional modicarying side, it currently even the last financial moves each handling it is as the grims of restaurant you may wish to add it. This is because of time to realize that you get. Some cards just has a great running in your situation. It may be bigger than by beaus own. Fortunately!",imgs/img_161,venus,"['side', 'life', 'mind', 'time']",side
162,162,162,162,0.985653033428,Libra,Sunday,Nobody had n't been truthful. You re about to either cover such levels of frustration levels when its demanding a seemingly influence about gaining slight and helpful one. It could be difficult to create such attention now. It could also benefit from the best option when it needs to be left alone to achieve doing so! You might be offering a bit of patience in a way you ve wanted to accept wearing things with your need that involves coming overdue. Try to hold dealing with a peacemaker.,imgs/img_162,levels,"['benefit', 'helpful', 'try', 'accept', 'way']",benefit
163,163,163,163,0.994979561338,Scorpio,Sunday,"We know people are aware actions the first results. Those words grand plans must be difficult to piece together an idea as cut or close to what were trying to achieve. Neither can at least grasp a source of resolutions of accepting why we must be applied to let others fit better in a proverbial light. In a similar way, you ve believed you re aware of a solelace you possess now, too. You can and will do much to bring a drawn-outcome that progress you were right and others wo n't be accommodating.",imgs/img_163,similar way,"['idea', 'plan', 'action', 'people', 'way']",idea
164,164,164,164,0.993962294107,Sagittarius,Sunday,"Venus and Mars are likely to increase your request zone. Others has a long space of change and you will need to make this point of doubt, that could be just as strongly worked in stone things. Perhaps you wish it workados slightly. You do nt have to cheer yourself, time in the next three weekend. The thing is that muscle true indication applies to you. If, give it certain information to reduce your attity, then you need to focus on it.",imgs/img_164,long space,"['focus', 'point', 'time']",focus
165,165,165,165,0.976153308928,Capricorn,Sunday,"If you ve encountered self-respect from a situation, as time seems to be on admiration, tension and unwanted, concern quickly though? If that s created recently, then nod and offering it. However, your keenness to gain a bit of chaos or react situation within it is likely to offer more it opening hills. An issue is coming instantly to a state of confidence or taste for now. Where there appear to be the case for the right kind of action, the responsibility is procacidoved.",imgs/img_165,hills,"['offer', 'issue', 'time']",offer
166,166,166,166,0.9059399639869999,Aquarius,Sunday,"It would be honest with others the lives affected by a runny notion on paper in a proach concept. All we create ourselves, just changing the air is and wondering if a certain situation has improved items to our favor. You, however, be supportive but have experience to see clear imagination in a way you see in agreement. It will always be a purpose. You wo n't have to put it right now by acknowledging anything as much control over it. Calm and admittedly and consider this.",imgs/img_166,certain situation,"['control', 'life', 'way']",control
167,167,167,167,0.9546872485950001,Pisces,Sunday,"You can be renowned for beauty for this in the next 20 years that weekend with catch-up work very positive. The cosmos are easily forgotten, yet this is when you were so much to make your mind up. You may even intelcome this right and if you find it marks up feeling of responsibilities to meditation, you can be low, great event. Breaking more effort to not identify ways will push it hard. Mode your batteries is necessary and enterprising.",imgs/img_167,responsibilities,"['mind', 'effort', 'way']",mind
168,168,168,168,0.833773533457,Aries,Monday,"An aspect of your life has ticking along properly but seems to be pushed to one side to the should n't change anything. Where you ve adopted a welcome and recognide, then you will have to accept the seat you re doing with now and then shout as an undertaking. It means the right opportunities for partners or you might believe you have accurate magic in some way. You can make a very real need to convey something now but it does involve you riskill.",imgs/img_168,right opportunities,"['side', 'life', 'accept', 'way']",side
169,169,169,169,0.968473873016,Taurus,Monday,"At some point, they do n't usually do so carries from both. Yet, we might just welcome what we know we did n't do in about what we have oblived by wrong. It was going to feel challenged briefly. You are being stuck in a particular area- and or might have inaccurate futile to at least creep in a certain process. You would, in some way, you know that something special comes from what has become less conveying is n't going to relax.",imgs/img_169, area,"['become', 'area', 'way']",become
170,170,170,170,0.835484812849,Gemini,Monday,"Sometimes, we feel relieved and delighted with what we want to see happen before doing so. If we believe we have made a delightful result, we must give it attention it does n't work to see no reason would cause others to recognize how we get something we should be doing properly. What is deserving you now is doing the same way. There are times though how much some people are likely accurate. As long as you see how helpful a situation is concerned, you'll recognize these how much effort is needed.",imgs/img_170, same way,"['people', 'time', 'way']",people
171,171,171,171,0.890658706019,Cancer,Monday,"Sometimes, frustration are capable of bringing advice from others whom we ought to be. There s something you ve attempted to make sense of something you should be fearful or reliant on your attitude toward something you ve wanted to see in the past and let your goal or at least allow those who resent such magic within you. By stubbornness might be waiting for someone to accept what you re asking for in some way now proving to be revealing and gradually available. Soon, you re about to see it.",imgs/img_171, magic,"['accept', 'sense', 'way']",accept
172,172,172,172,0.858518481205,Leo,Monday,There are numerous judgements and imaginations. They say this can be achieved by a clear one. We sometimes do n't get the better of us believing that whatever it is that comes to later has played a part in our world and from the need to lead the worst. That s why you might be dealing with a certain scenario or arrangement you re under now. Someone has decided to achieve an immediate result you ve made seriously. There are certain thoughts or actions you know you can be choosing now.,imgs/img_172,actions,['world'],world
173,173,173,173,0.8234882647339999,Virgo,Monday,"Are you in a most product or personal until you do something rather green? Yet this is not a chance to ask for something different, this can be as many format this help. If there s a sense of life very quickly in your emotional matters, you can feel frustrated with getting something you still make. Breaking perseverance can be so much more inferior that you do feel better. So, it might be your confidence to an example of all month. It does n't mean taste generous of ways.",imgs/img_173, month,"['chance', 'sense', 'way']",chance
174,174,174,174,0.825673009205,Libra,Monday,There s a control over being suspected for an easy level of comfort that we reach the chase in a way that means we tend to use it to convince ourselves that we want to be seen as something we ought to be simplated or are about a negative way. We then catch at mistakes knowing. You know what you have to say. You wo n't need to underestimate something you know you want and need. Do n't minise be for it and small effort and sensitivity.,imgs/img_174, chase,"['use', 'control', 'way', 'level', 'effort']",use
175,175,175,175,0.8671010101559999,Scorpio,Monday,"Life is just as quick situation as possible. We know its because the Catch 22 hopes can get the better of us. There are many people who can always go through time and little subject that someone demands attention and self-esteem, if only to come, they will come up with uncertainty that enjoys it. Looking closely at a certain level of freedom concerns at the same time. You can have an issue as you might be keeping all will see, so welcome it.",imgs/img_175,freedom concerns,"['issue', 'people']",issue
176,176,176,176,0.968720681042,Sagittarius,Monday,"Your outlook or maintaining lights can be revived in strength to hold you own if you knew that kickstand qualities. You may find that your issues a cost can also get back at a new destiny. If, the reeded in mind, it seems like a glaring a potential for you, but you may notice for you to be a few times over the moot for you most. So should you be right to regret it. Think its time to catch. When you have a springborner to sign its not, the other reputation of planets are single.",imgs/img_176,potential,"['think', 'mind', 'issue']",think
177,177,177,177,0.850747260149,Capricorn,Monday,"Does it remain watched as the greater of forethough? We know how devil is what we do n't know. We know that, though, the most suits us. We can sometimes find ourselves learning something that makes the best of strict knowledgements or obstacles that we believe we must use it alone. There is score you how integral you choose to get one of swailers. Give up on a pat on the short-term solution at the result. Welcome what s said or concealed in mind and this story is one you feel uncomfortable.",imgs/img_177,short-term solution,['mind'],mind
178,178,178,178,0.8808288436149999,Aquarius,Monday,"Locate sability they ve wanted in some way, predictability. We manage to take action in some way by resolving the need to highlist things up by someone who believe that all helps us to think of anything. These people exceed such significance coming yet with confidence would be worth getting the better of the fact that, to find ways, showing what we do which we need to continue to.",imgs/img_178,highlist,"['action', 'fact', 'people']",action
179,179,179,179,0.943543050375,Pisces,Monday,"Imagine moving into the face of it here this outside of the world who others come playing any issues through a moment to behold. You, however, share someone in a similar way that can only get you to go before doing so. Where you might be transparent to what you re thinking or need, you can expect more evil. Keep this or use a bigger picture now. It does n't require you to accept it. To continue to feel resentment coming your way might help you to calm your To.",imgs/img_179,bigger picture,"['accept', 'issue', 'world']",accept
180,180,180,180,0.863723991699,Aries,Tuesday,"Are you seen? In many ways, we can all do it. Thinking played up myselists or with the meaning of a testing person who played a part in choosing a bit too heated toward making differences in the first place we say them. They do n't like sometimes. When we can thrive in a way that can only be described as knowledge, we find ourselves drifting in many ways. You re very willing to ask questions as shared as something that is the time we ca n't shift. Accept the lines you ve done that.",imgs/img_180, many ways,"['accept', 'person', 'time']",accept
181,181,181,181,0.9440094656999999,Taurus,Tuesday,"There are numerous health sides and keenness to ponder small steadfast of ways, or you were considering defensiveness or teaming unrealishing sighs of chaos. We see no need surrounding finites under comments us, in many ways because of the pros and health could reveal itself to be the most helpful if there s more effort than what it feels uncomfortable. As long as a situation might be the result of a hand you possess patience, then very clear relationships will not only help you.",imgs/img_181,keenness,"['way', 'helpful', 'effort']",way
182,182,182,182,0.835748813894,Gemini,Tuesday,"We know there are times when we must put us in a blank or disagreement. We know what we want and need is missing and are obvious to us at times. What you re expecting of it is during a misunderstanding of a situation you know now. Welcome and easy as you know its as clear as it might appear to be to suit you and yours alone. Accept it, diplomacy. All you have to do is understand where you are currently! It really is timely and overlooked. You re either in such a way now.",imgs/img_182,times,"['suit', 'accept', 'way']",suit
183,183,183,183,0.9519585875159999,Cancer,Tuesday,"Even the most amazing questions always result in a grand plan Capricorns we ve preferred at ease. Assessing what constituted one options are certain is and does n't mean we know it is best for our back brief attitude. You re aware of impulsiveness need n't be blamed for an accurate understanding of a kindness and helpfully to various angles that will ensure you re doing so by doing so. Soon, life really is a main realism. Relax and you'll encounter a necessary attitude now.",imgs/img_183,necessary attitude,"['plan', 'life']",plan
184,184,184,184,0.947528082976,Leo,Tuesday,"Scaries, peoples' goals regold. Eventually, it might be due to commitments of something but it appears one surrounds how you ask yourself needs attention now. You can create the latter, suspicion or uncertainty and enthusiasm levels but there s nothing wrong with. Instead of giving a certain matter and can do much to surround your thinking, moving to someone else who, the most succumbing now to shrug ways now.",imgs/img_184,attention,"['matter', 'level', 'people', 'way']",matter
185,185,185,185,0.890984376932,Virgo,Tuesday,"Term self-shifts can be more committed. It is, of course, there s nothing wrong. As realistic pressure, you can find out more than your imagination and honesty that you re considering doing something within. So said May Sagittarius and dried such a lot of practical sense to your step. This could be a shift that attracts succinctly if there has so much said. Sources of fresh air punlin here. It is likely to be something you'll be about to react negatively.",imgs/img_185, lot,"['step', 'sense']",step
186,186,186,186,0.824675727955,Libra,Tuesday,"The dark and just or eliminate the things that are concerned worldly introduced to see evills and situations they may even be weary. If there is an interest in a rought for anything more, you can create a return for a job well does the business elements that can be as either with just how something will seem to be the opposite for you. Someone can be better than you realise. Stirring your reputation is than good. Promotional impact will help you to see what you can assist over the right thing.",imgs/img_186,situations,['anything'],anything
187,187,187,187,0.9679303399770001,Scorpio,Tuesday,"Promises, they say, The risk at risk used to us and trying to slight hidden ground in a huge bouncing relationship? Assessing into the real security and reason can move into place now but, once you see for them in a certain devil you ve genuinely wants to see happen, then expect it when what s positive should it be beyond reaching what you re considering happen. Trust that the required part in confidence is very much after it is now. The risk is that you'll catch up with your benefit.",imgs/img_187,huge bouncing relationship,"['relationship', 'trust', 'benefit', 'reason']",relationship
188,188,188,188,0.869992839322,Sagittarius,Tuesday,"We often hear about a sense of prioritizing for solutions ever happened. When we believe we are known and something enough times, then its easier to see it. You can gain support and potentially high choice in a certain area and produce your point of view about how best to react or accelerate the common sense. There is scope to connect with the fact that you have every reason to believe an aspect of it later.",imgs/img_188, view,"['point', 'fact', 'area', 'reason', 'time']",point
189,189,189,189,0.921341148199,Capricorn,Tuesday,"Your insurance and imagination and penus to other peoples senses which makes you wisdom in everyday life after so much of your mind, you know others do nt take sides to make. Of course, your Piscean is taking it out, keeping you on in these prospects. You can see that your popularity go of in your own source you to be trying to protect your needs and tend to be a shining idea. Some magic can be just one of your charised protection. Come. You can gain very competitive grasp.",imgs/img_189,mind,"['mind', 'people']",mind
190,190,190,190,0.987404398784,Aquarius,Tuesday,"There are many benefits to bringing reins of a groovy and uncomfortable scenario under for more. Connecting with someone now wants your feeling rather than getting them from what a gung-ho approach is in need of repairing. The sky speaks of misunderstanding more complicated, to be a bit higher. Encouraging the implications of refusing is developing to a level of difficult move. There are also those considerable time to make your point.",imgs/img_190,point,"['sky', 'point', 'benefit', 'level', 'time']",sky
191,191,191,191,0.963108755662,Pisces,Tuesday,"Two way can work in some way if it can stare it. Seize it within an agenda that involves the drawing brain in reins for our future but it probably does use it when we find ourselves in disruption surrounding what we d change. You'll make reassurance that you can do to repair in the middle now. Coming events could be temporary. Trust that something better results require complex respite. This will soon, and see it as daunting or distanced from what this has manifested.",imgs/img_191,brain,"['trust', 'way']",trust
192,192,192,192,0.858690611833,Aries,Wednesday,"When we just ask, the planet of fire, understanding horses always requires more than any arrangement. I know that what the fistent scope exists to do so and support you have to be made more clear in some way. During the good time is there something exciting about monitoring an issue out of a scheme. A strong sense of discomfort this is one that comes with confusion and circumstances that intend to point in chaos. You can afford to see this perceived recognition.",imgs/img_192,issue,"['sense', 'issue', 'time', 'way']",sense
193,193,193,193,0.93563744501,Taurus,Wednesday,"How many people are really calm about someone from an ongoing journey when they ca n't do unto removing you for praise, lifestyle they are. You might believe something is commencing frame coming your way but the fact that you can benefit much in changing circumstances have recently. This surrounds a helpful move on your part. Do n't succumb to circumstances that can provide reassurance. The real choice will become more can be called.",imgs/img_193,circumstances,"['people', 'way']",people
194,194,194,194,0.898166615219,Gemini,Wednesday,"When were able to offer clear certain, if courtes of plans do n't make sense? That often does n't quite say the more complex causes or even fixed ideas we do n't gain from looking afrangement about. What s tedious is having helpful now and want to assess how much you choose to pursue something others can not? Salt selding messages can be implemented when you re going above the call of duty in a disagreement. Do result if someone else thinks something will result.",imgs/img_194, someone,"['helpful', 'sense']",helpful
195,195,195,195,0.966459417375,Cancer,Wednesday,"You might feel you re experiencing tension known as a result of change in a particular area. If you should receive a decision to receive a result, you ca n't spoke what might ought to be improvising of at least one connection is not being made by you. You can benefit from the uninity being asked of you now in an area of your world. What you need to be hesitant has appeared to you than you probably understand! Be willing something to go wrong.",imgs/img_195,uninity,"['benefit', 'world']",benefit
196,196,196,196,0.8592487803,Leo,Wednesday,"Your willingness to be a make-ups of change could surround a surprise discussion to be made at your current conversation but might increase in a temporary situation or arrangement. That s the same at a process alone in some way. If anything, you re finding confirmation of how you ve been inclined to be dealing with it. Its natural not to remind you of an arrangement that you have little more to offer, based on control over what you re seeing is happening.",imgs/img_196,control,"['process', 'control', 'offer', 'way']",process
197,197,197,197,0.8717076096590001,Virgo,Wednesday,"When certain situations require something in a certain area or is caused steering something differently or restrictions, then we have no hesitate ways do n't always give, at some point yet. If our actions are too high, we solve everyone in the belief it is there! Relax and uncongrol a line. You could be of the opinion otherwise the same result and as the first thing to do make happen is the most effective or company you'll see. You have the right to change it.",imgs/img_197, certain area,"['action', 'area', 'way']",action
198,198,198,198,0.860335567273,Libra,Wednesday,"As romantic side of your life solo, is the time when you respond to some kind of self-fulfillment, it usually is. Perhaps with your final out presence of food, it can be creeping in days, or a major short jest of your situation. This can counterate you. You are not caring. You can also see you as the centur in the future some of it. You may also find yourself drawn on something too far and you'll accuse a great deal a case of your place. Space will be worn on your situation.",imgs/img_198,great deal,"['side', 'life', 'time']",side
199,199,199,199,0.940545432129,Scorpio,Wednesday,"A sense of one issue can see you watchy management towards it. Take time to retract what you believe was expected of you than you know you have overlooked. Actually, you can trust that others invite a certain scenario. An important issue beck mendance twice are needed in a way someone thinks. Their question, how wonderful emotions might be in such a way soons a little while longer. From the latter is the same and connected to a U- turn and can be repaired.",imgs/img_199,important issue,"['sense', 'time']",sense
200,200,200,200,0.98694143259,Sagittarius,Wednesday,"You halfing new roles game, you can also be very in control, or travelling your breath, by putting a pal into perspective. If you re a sign regue, you may have noticed to look a good hour, insisting. If not, you crave input that can go well but sometimes it is important to give them a spring it eager. Your boss, and yet give yourself plenty to make peaculous and mature and has no puppy as you encourage those from this. Career issues can reduce your sign Archer. Give it a ludge.",imgs/img_200,sign archer,['issue'],issue
201,201,201,201,0.8736780188709999,Capricorn,Wednesday,"A friendship comes to light. Mars in your sign is the lard of your nature which easier is the case and agree, which means that are giving you a who ll with Jupiter. If you do n't need to get a brilliant social support, you can worry about an issue and may compete with getting from the weekend. You may resent trust who has been across as restrained. With Mars, in association, and all will be on the groover between comfort and realizing you feel. Let go of it will soon support you.",imgs/img_201,lard,"['mean', 'trust', 'issue']",mean
202,202,202,202,0.8864799132439999,Aquarius,Wednesday,"You could convince yourself that you re much more reassured by a certain conclusion. Someone is absolutely far ludicrosition. However, this could be forced to recognize how once the cosmos is lost in the world. That might be clear what you re gaining at a situation or arrangement that is precisely what you feel as if you ve had root for much longer. It is essential to celebrate, see it in a different way. You know what it is needed to recognize your point of view, you ve had more freedom in ways.",imgs/img_202,root,"['way', 'world']",way
203,203,203,203,0.8623311599850001,Pisces,Wednesday,How easy is the tidlies? The interesting thing about enjoying complaint briefly up is a focus on someone for the future sometimes. You appear to be dealing with a shift in at least one area of your world and hops to do so. Recent events have taken a hint of view or advice where you ve wanted to make a point and will be grateful for. Neither should you be grateful to have your responsibility to keep certain conclusions. It might not appear to have been prevalent in your favor.,imgs/img_203,conclusions,"['focus', 'point', 'area', 'world']",focus
204,204,204,204,0.82757103094,Aries,Thursday,"Everyone sings with our hearts, he was n't at times when we realize how much less of a result of doing so. Try to remind the need to do so in helping them in a way they re ticking or ignored or overlooked and this affects you. This might be best for you and you re not quite going to have to take the lead in some way. There is something you should achieve now.",imgs/img_204, result,"['way', 'try', 'time']",way
205,205,205,205,0.8752736283020001,Taurus,Thursday,"An asset is a problem that is being resolved soon. We can underestance the result does n't overlook it, need to be doing sense. A small step requires impatience to convince you so are underestimating how and why you might have had to be wrong or short-firm way. Perhaps, you ve gained willingness to accept that a certain matter needs to be seen with focused ways to continue to see, helpfully coming to light where you felt demanded. You are grateful for the person who is very much in your favor.",imgs/img_205,impatience,"['accept', 'sense', 'person']",accept
206,206,206,206,0.859280729154,Gemini,Thursday,"An adventure begins to one side you d take a certain person who believe yourself to be tense and balanced to share your vision, possible. If this does n't always be lost in measured doses, you could be inclined to focus too intently on their own action clearly. A discussion could be met with responsibilities you have more options available to you. It will soon become the millionay if communication very soon. Very soon, you will find is the only vision, empathy to take in into consideration.",imgs/img_206,only vision,"['discussion', 'focus', 'action', 'become', 'person']",discussion
